County Name,Observation Count,PM2.5 Mean,Arithmetic Standard Dev,Race Group,Percent Low Birthweight,PM2.5 Category
El Dorado,103,0.030689,0.067572,Non-White,5.2423076923076914,Healthy
El Dorado,103,0.030689,0.067572,White,5.645,Healthy
El Dorado,103,0.159709,0.164416,Non-White,5.2423076923076914,Healthy
El Dorado,103,0.159709,0.164416,White,5.645,Healthy
El Dorado,103,0.326068,0.283709,Non-White,5.2423076923076914,Healthy
El Dorado,103,0.326068,0.283709,White,5.645,Healthy
El Dorado,103,0.17768,0.157552,Non-White,5.2423076923076914,Healthy
El Dorado,103,0.17768,0.157552,White,5.645,Healthy
El Dorado,103,0.172126,0.132161,Non-White,5.2423076923076914,Healthy
El Dorado,103,0.172126,0.132161,White,5.645,Healthy
El Dorado,103,0.229282,0.20962,Non-White,5.2423076923076914,Healthy
El Dorado,103,0.229282,0.20962,White,5.645,Healthy
El Dorado,103,0.057942,0.04032,Non-White,5.2423076923076914,Healthy
El Dorado,103,0.057942,0.04032,White,5.645,Healthy
El Dorado,103,0.0,0.0,Non-White,5.2423076923076914,Healthy
El Dorado,103,0.0,0.0,White,5.645,Healthy
El Dorado,103,0.004843,0.013602,Non-White,5.2423076923076914,Healthy
El Dorado,103,0.004843,0.013602,White,5.645,Healthy
El Dorado,103,0.561538,0.420474,Non-White,5.2423076923076914,Healthy
El Dorado,103,0.561538,0.420474,White,5.645,Healthy
El Dorado,103,0.151545,0.185652,Non-White,5.2423076923076914,Healthy
El Dorado,103,0.151545,0.185652,White,5.645,Healthy
El Dorado,103,0.394578,0.44965,Non-White,5.2423076923076914,Healthy
El Dorado,103,0.394578,0.44965,White,5.645,Healthy
El Dorado,103,1.559213,1.389121,Non-White,5.2423076923076914,Healthy
El Dorado,103,1.559213,1.389121,White,5.645,Healthy
El Dorado,103,0.362058,0.272886,Non-White,5.2423076923076914,Healthy
El Dorado,103,0.362058,0.272886,White,5.645,Healthy
El Dorado,103,2.946602,2.094662,Non-White,5.2423076923076914,Healthy
El Dorado,103,2.946602,2.094662,White,5.645,Healthy
Fresno,8557,10.570959,9.872759,Non-White,9.12,Unhealthy
Fresno,8557,10.570959,9.872759,White,7.125,Unhealthy
Fresno,118,0.002059,0.010755,Non-White,9.12,Healthy
Fresno,118,0.002059,0.010755,White,7.125,Healthy
Fresno,112,3.6e-05,0.000186,Non-White,9.12,Healthy
Fresno,112,3.6e-05,0.000186,White,7.125,Healthy
Fresno,118,8e-06,9.2e-05,Non-White,9.12,Healthy
Fresno,118,8e-06,9.2e-05,White,7.125,Healthy
Fresno,112,0.129473,0.134561,Non-White,9.12,Healthy
Fresno,112,0.129473,0.134561,White,7.125,Healthy
Fresno,118,0.07578,0.06115,Non-White,9.12,Healthy
Fresno,118,0.07578,0.06115,White,7.125,Healthy
Fresno,118,0.009585,0.0209,Non-White,9.12,Healthy
Fresno,118,0.009585,0.0209,White,7.125,Healthy
Fresno,112,0.003884,0.005333,Non-White,9.12,Healthy
Fresno,112,0.003884,0.005333,White,7.125,Healthy
Fresno,118,0.001364,0.002735,Non-White,9.12,Healthy
Fresno,118,0.001364,0.002735,White,7.125,Healthy
